 to your browser, в ваш браузер
Couldn't Load Desk,Не удалось загрузить рабочий стол
"Couldn't save, please check the data you have entered","Не удалось сохранить, проверьте данные, которые вы ввели"
Count,Количество
Count Customizations,Подсчёт пользовательских настроек
Count Filter,Фильтр подсчёта
Counter,Счётчик
Country,Страна
Country Name,Название страны
County,Округ
Create,Создать
Create Card,Создать карточку
Create Chart,Создать диаграмму
Create Contacts from Incoming Emails,Создание контактов из входящих писем
Create Entry,Создать запись
Create Log,Создать журнал
Create New,Создать
Create Post,Создать пост
Create User Email,Создать эл. почту пользователя
Create a New Format,Создать новый формат
Create a new record,Создать новую запись
Create a new {0},Создать {0}
Create and Send Newsletters,Создание и отправка рассылки
Create and manage newsletter,Создание рассылок и управление ими
Create your first {0},Создайте свой первый {0}
Created,Создано
Created By,Кем создано
Created Custom Field {0} in {1},Создано настраиваемое поле {0} в {1}
Created On,Дата создания
Created {0} records successfully.,Успешно создано записей: {0}.
Creating {0},Создание {0}
Criticism,Критика
Criticize,Критиковать
Cron Format,Формат cron
Crop,Обрезать
Ctrl+Enter to add comment,"Ctrl+Enter, чтобы добавить комментарий"
Currency,Валюта
Currency Name,Название валюты
Currency Precision,Точность валюты
Current,Текущий
Current Mapping,Текущее сопоставление
Current Mapping Action,Действие текущего сопоставления
Current Mapping Delete Start,Начало удаления текущего сопоставления
Current Mapping Start,Начало текущего сопоставления
Current Mapping Type,Тип текущего сопоставления
Current status,Текущее состояние
Currently Replying,Сейчас отвечает
Currently Viewing,Сейчас просматривают
Currently updating {0},Сейчас обновляется {0}
Currently you have {0} review points,Сейчас у вас {0} баллов отзыва
Custom,Пользовательский
Custom Base URL,Пользовательский базовый URL
Custom CSS,Пользовательский CSS
Custom Configuration,Пользовательская конфигурация
Custom DocPerm,Пользовательский DocPerm
Custom Documents,Пользовательские документы
Custom Field,Настраиваемое поле
Custom Field {0} is created by the Administrator and can only be deleted through the Administrator account.,Настраиваемое поле {0} создано администратором и может быть удалено только из-под учётной записи администратора.
Custom Fields can only be added to a standard DocType.,Настраиваемые поля можно добавлять только к стандартному DocType.
Custom Fields cannot be added to core DocTypes.,Настраиваемые поля нельзя добавлять в базовые DocType.
Custom Format,Пользовательский формат
Custom HTML,Произвольный HTML
Custom HTML Help,Пользовательская HTML-подсказка
Custom JS,Пользовательский JS
Custom Menu Items,Пользовательские пункты меню
Custom Options,Пользовательские параметры
Custom Overrides,Пользовательские переопределения
Custom Report,Пользовательский отчёт
Custom Reports,Пользовательские отчёты
Custom Role,Пользовательская роль
Custom SCSS,Пользовательский SCSS
Custom Script,Пользовательский скрипт
Custom Sidebar Menu,Пользовательское боковое меню
Custom Translations,Пользовательские переводы
Custom?,Произвольный?
Customization,Пользовательские настройки
Customizations Reset,Сброс пользовательских настроек
Customizations Saved Successfully,Пользовательские настройки успешно сохранены
Customizations for <b>{0}</b> exported to:<br>{1},Настройки для <b>{0}</b> экспортированы в:<br>{1}
Customize,Настроить
Customize Form,Настроить форму
Customize Form Field,Настройка поля формы
"Customize Label, Print Hide, Default etc.","Настройка подписи, скрытия при печати, значения по умолчанию и т. д."
Customize Workspace,Настроить рабочий стол
Customize...,Настроить...
"Customized Formats for Printing, Email",Настроенные форматы для печати и эл. почты
Customized HTML Templates for printing transactions.,Настроенные HTML-шаблоны для печати операций.
Cut,Вырезать
DESC,DESC
DRAFT,ЧЕРНОВИК
Dadra and Nagar Haveli,Дадра и Нагар Хавели
Daily,Ежедневно
Daily Event Digest is sent for Calendar Events where reminders are set.,"Ежедневный дайджест отправляется для событий календаря, где установлены напоминания."
Daily Events should finish on the Same Day.,Ежедневные события должны заканчиваться в тот же день.
Daily Long,Ежедневно (длинные)
Daman and Diu,Даман и Диу
Danger,Опасность
Dark Color,Тёмный цвет
Dashboard,Дашборд
Dashboard Chart,Диаграмма дашборда
Dashboard Chart Field,Поле диаграммы дашборда
Dashboard Chart Link,Ссылка диаграммы дашборда
Dashboard Chart Source,Источник диаграммы дашборда
Dashboard Manager,Менеджер дашбордов
Dashboard Name,Название дашборда
Dashboard Settings,Настройки дашборда
Dashboards,Дашборды
Data,Данные
Data Export,Экспорт данных
Data Import,Импорт данных
Data Import Legacy,Устаревшая версия импорта данных
Data Import Template,Шаблон импорта данных
Data Migration,Миграция данных
Data Migration Connector,Коннектор миграции данных
Data Migration Mapping,Сопоставление миграции данных
Data Migration Mapping Detail,Деталь сопоставления миграции данных
Data Migration Plan,План миграции данных
Data Migration Plan Mapping,Сопоставление плана миграции данных
Data Migration Run,Запуск миграции данных
Data Too Long,Данные слишком длинные
Data missing in table,Данные отсутствуют в таблице
Database Engine,Движок базы данных
Database Name,Имя базы данных
Date,Дата
Date Format,Формат даты
Date and Number Format,Формат даты и чисел
Date {0} must be in format: {1},Дата {0} должна быть в формате: {1}
Dates are often easy to guess.,Даты часто легко подобрать.
Datetime,Datetime
Day,День
Day of Week,День недели
Days After,Дней после
Days Before,Дней до
Days Before or After,Дней до или после
Dear,Уважаемый(ая)
"Dear System Manager,",Уважаемый системный администратор!
"Dear User,","Уважаемый пользователь,"
Dear {0},Уважаемый {0}
Default,По умолчанию
Default Address Template cannot be deleted,Шаблон адреса по умолчанию нельзя удалить
Default Inbox,Входящие по умолчанию
Default Incoming,По умолчанию для входящих
Default Letter Head,Бланк по умолчанию
Default Outgoing,По умолчанию для исходящих
Default Portal Home,Главная страница портала по умолчанию
Default Print Format,Формат печати по умолчанию
Default Print Language,Язык печати по умолчанию
Default Redirect URI,URI перенаправления по умолчанию
Default Role at Time of Signup,Роль по умолчанию во время регистрации
Default Role on Creation,Роль по умолчанию при создании
Default Sending,По умолчанию для отправки
Default Sending and Inbox,По умолчанию для отправки и входящих
Default Sort Field,Поле сортировки по умолчанию
Default Sort Order,Порядок сортировки по умолчанию
Default Theme,Тема по умолчанию
Default Value,Значение по умолчанию
Default for 'Check' type of field {0} must be either '0' or '1',Значение по умолчанию для поля типа «Check» {0} должно быть «0» или «1»
Default value for {0} must be in the list of options.,Значение по умолчанию для {0} должно быть в списке вариантов.
Default {0},По умолчанию {0}
"Default: ""Contact Us""",По умолчанию: «Contact Us»
DefaultValue,DefaultValue
Defaults,Значения по умолчанию
Define workflows for forms.,Определите рабочие процессы для форм.
Defines actions on states and the next step and allowed roles.,"Определяет действия в состояниях, следующий шаг и разрешённые роли."
Defines workflow states and rules for a document.,Определяет состояния рабочего процесса и правила для документа.
Delayed,Задерживается
Delete,Удалить
Delete All,Удалить всё
Delete Data,Удалить данные
Delete and Generate New,Удалить и создать заново
Delete comment?,Удалить комментарий?
Delete this record to allow sending to this email address,"Удалите эту запись, чтобы разрешить отправку на этот адрес эл. почты"
Delete {0} items permanently?,Удалить {0} объектов навсегда?
Deleted,Удалено
Deleted DocType,Удалённый DocType
Deleted Document,Удалённый документ
Deleted Documents,Удалённые документы
Deleted Name,Удалённое имя
Deleting {0},Удаление {0}
Delhi,Дели
Delivery Failed,Доставка не удалась
Delivery Status,Статус отгрузки
Department,Подразделение
Depends On,Зависит от
Descendants Of,Потомки для
Description,Описание
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Описание для страницы списка, простым текстом, всего пара строк (не более 200 символов)"
Designation,Должность
Desk,Рабочий стол
Desk Access,Доступ к рабочему столу
Desk Card,Карточка рабочего стола
Desk Chart,Диаграмма рабочего стола
Desk Page,Страница рабочего стола
Desk Shortcut,Ярлык рабочего стола
Desktop,Рабочий стол
Desktop Icon,Значок рабочего стола
Desktop Icon already exists,Значок рабочего стола уже существует
Details,Подробности
Developer,Разработчик
Developer Mode Only,Только в режиме разработчика
Did not add,Не добавлено
Did not cancel,Не отменено
Did not find {0} for {0} ({1}),Не найден {0} для {0} ({1})
Did not remove,Не удалено
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различные «состояния», в которых может находиться документ. Например: «Открыт», «Ожидает утверждения» и т. д."
Digits,Цифры
Direct,Прямой
Direct room with {0} already exists.,Прямая комната с {0} уже существует.
Disable Auto Refresh,Отключить автоматическое обновление
Disable Comments,Отключить комментарии
Disable Count,Отключить подсчёт
Disable Customer Signup link in Login page,Отключить ссылку регистрации клиентов на странице входа
Disable Prepared Report,Отключить подготовленный отчёт
Disable Report,Отключить отчёт
Disable SMTP server authentication,Отключить аутентификацию SMTP-сервера
Disable Sidebar Stats,Отключить статистику боковой панели
Disable Signup,Отключить регистрацию
Disable Signup for your site,Отключить регистрацию для вашего сайта
Disable Standard Email Footer,Отключить стандартный нижний колонтитул письма
Disable User Customization,Отключить пользовательскую настройку
Disabled,Отключено
Disabled Auto Reply,Автоответ отключён
Discard,Отбросить
Dismiss,Скрыть
Display,Показать
Display Depends On,Отображение зависит от
Do not allow user to change after set the first time,Не разрешать пользователю изменять после первой установки
Do not edit headers which are preset in the template,"Не редактируйте заголовки, которые заданы в шаблоне"
Do not have permission to access {0} bucket.,Нет права доступа к бакету {0}.
Do not send Emails,Не отправлять письма
Do you really want to send this email newsletter?,Вы действительно хотите отправить эту рассылку?
Do you want to cancel all linked documents?,Вы хотите отменить все связанные документы?
Doc Event,Событие документа
Doc Events,События документа
Doc Status,Статус документа
DocField,DocField
DocPerm,DocPerm
DocShare,DocShare
DocType,DocType
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,"DocType <b>{0}</b>, указанный для поля <b>{1}</b>, должен иметь хотя бы одно поле типа Link"
DocType Action,DocType Action
DocType Event,Событие DocType
DocType Link,DocType Link
DocType View,DocType View
DocType can not be merged,DocType нельзя объединить
DocType can only be renamed by Administrator,Переименовать DocType может только администратор
DocType is a Table / Form in the application.,DocType — это таблица / форма в приложении.
DocType must be Submittable for the selected Doc Event,DocType должен быть проводимым для выбранного события документа
DocType on which this Workflow is applicable.,"DocType, к которому применяется этот рабочий процесс."
DocType's name should not start or end with whitespace,Имя DocType не должно начинаться или заканчиваться пробелом
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","Имя DocType должно начинаться с буквы и может состоять только из букв, цифр, пробелов и знаков подчёркивания"
Doctype,Тип документа
Doctype required,Требуется Doctype
Document,Документ
Document Actions,Действия с документами
Document Follow,Следить за документом
Document Follow Notification,Уведомление о слежении за документом
Document Link,Ссылка на документ
Document Links,Ссылки на документы
Document Name,Название документа
Document Naming Rule,Правило именования документов
Document Naming Rule Condition,Условие правила именования документов
Document Queued,Документ в очереди
Document Restoration Summary,Сводка восстановления документов
Document Restored,Документ восстановлен
Document Share,Совместный доступ к документу
Document Share Report,Отчёт по совместному доступу к документам
Document States,Состояния документа
Document Status,Статус документа
Document Tag,Метка документа
Document Title,Заголовок документа
Document Type,Тип документа
Document Type Field Mapping,Сопоставление полей типа документа
Document Type Mapping,Сопоставление типа документа
Document Type is not importable,Тип документа не импортируется
Document Type is not submittable,Тип документа не является проводимым
Document Type to Track,Тип документа для отслеживания
Document Type {0} has been repeated.,Тип документа {0} повторяется.
Document Types,Типы документов
Document can't saved.,Документ не может быть сохранён.
Document is only editable by users with role,Документ могут редактировать только пользователи с ролью
Document renamed from {0} to {1},Документ переименован из {0} в {1}
Document type is required to create a dashboard chart,Тип документа необходим для создания диаграммы дашборда
Document {0} Already Restored,Документ {0} уже восстановлен
Document {0} has been set to state {1} by {2},Документ {0} переведён в состояние {1} пользователем {2}
Documentation,Документация
Documentation Link,Ссылка на документацию
Documentation URL,URL документации
Documents,Документы
Documents assigned to you and by you.,"Документы, назначенные вам и вами."
Documents restored successfully,Документы успешно восстановлены
Documents that failed to restore,"Документы, которые не удалось восстановить"
Documents that were already restored,"Документы, которые уже были восстановлены"
Domain,Отрасль
Domain Settings,Настройка сфер деятельности
Domains,Отрасли
Domains HTML,HTML доменов
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Не кодировать HTML-теги, такие как &lt;script&gt;, и символы &lt; и &gt;, так как они могут быть намеренно использованы в этом поле"
Don't Import,Не импортировать
Don't Override Status,Не переопределять статус
Don't Send Emails,Не отправлять письма
Don't create new records,Не создавать новые записи
Don't have an account? Sign up,Нет учётной записи? Зарегистрируйтесь
"Don't know, ask 'help'","Не знаю, спросите «help»"
Donut,Кольцевая
Download,Скачать
Download Backups,Скачать резервные копии
Download Data,Скачать данные
Download Files Backup,Скачать резервную копию файлов
Download Link,Ссылка для скачивания
Download Report,Скачать отчёт
Download Template,Скачать шаблон
Download Your Data,Скачать ваши данные
Download link for your backup will be emailed on the following email address: {0},Ссылка для скачивания резервной копии будет отправлена на адрес: {0}
Download template,Скачать шаблон
Download with Data,Скачать с данными
Draft,Черновик
Drag and Drop tool to build and customize Print Formats.,Инструмент drag-and-drop для создания и настройки форматов печати.
Drag and drop files here or upload from,Перетащите файлы сюда или загрузите из
"Drag and drop files, ","Перетащите файлы, "
Drag elements from the sidebar to add. Drag them back to trash.,"Перетащите элементы с боковой панели, чтобы добавить. Перетащите обратно, чтобы удалить."
Drop,Отпустите
Drop Here,Отпустите здесь
Drop files here,Перетащите файлы сюда
Dropbox Access Key,Ключ доступа Dropbox
Dropbox Access Secret,Секретный ключ Dropbox
Dropbox Access Token,Токен доступа к Dropbox
Dropbox Settings,Настройки Dropbox
Dropbox Setup,Настройка Dropbox
Dropbox access is approved!,Доступ к Dropbox получен!
Dropbox backup settings,Настройки резервного копирования Dropbox
Dropdowns,Выпадающие списки
Due Date,Срок оплаты
Due Date Based On,Срок оплаты на основании
Duplicate,Дублировать
Duplicate Filter Name,Повторяющееся имя фильтра
Duplicate Name,Повторяющееся имя
Duration,Длительность
Dynamic Filters,Динамические фильтры
Dynamic Filters JSON,JSON динамических фильтров
Dynamic Filters Section,Раздел динамических фильтров
Dynamic Link,Динамическая ссылка
Dynamic Report Filters,Динамические фильтры отчёта
Dynamic Route,Динамический маршрут
Dynamic Template,Динамический шаблон
EMail,Эл. почта
ERPNext Role,Роль ERPNext
ESC,ESC
Edit,Изменить
Edit Auto Email Report Settings,Изменить настройки автоматического отчёта по эл. почте
Edit Chart,Изменить диаграмму
Edit Custom HTML,Редактировать пользовательский HTML
Edit DocType,Редактирование DocType
Edit Filter,Редактировать фильтр
Edit Filters,Изменить фильтры
Edit Format,Редактировать формат
Edit HTML,Редактировать HTML
Edit Heading,Редактировать заголовок
Edit Profile,Редактировать профиль
Edit Properties,Редактировать свойства
Edit Shortcut,Изменить ярлык
Edit Values,Изменить значения
Edit in Full Page,Редактировать на полной странице
Edit in full page,Редактировать на полной странице
Edit to add content,"Редактировать, чтобы добавить содержимое"
Edit {0},Редактировать {0}
Editable Grid,Редактируемая сетка
Editing Row,Редактирование строки
Eg. smsgateway.com/api/send_sms.cgi,Например: smsgateway.com/api/send_sms.cgi
Email,Эл. почта
Email / Notifications,Эл. почта / уведомления
Email Account,Почтовый ящик
Email Account Name,Имя учётной записи эл. почты
Email Account added multiple times,Учётная запись эл. почты добавлена несколько раз
Email Account not setup. Please create a new Email Account from Setup > Email > Email Account,Учётная запись эл. почты не настроена. Создайте новую: Настройка > Эл. почта > Учётная запись эл. почты
Email Account setup please enter your password for: {0},Настройка учётной записи эл. почты: введите пароль для {0}
Email Address,Адрес электронной почты
Email Address whose Google Contacts are to be synced.,"Адрес эл. почты, чьи контакты Google будут синхронизироваться."
Email Addresses,Адреса эл. почты
Email Domain,Домен эл. почты
"Email Domain not configured for this account, Create one?",Домен эл. почты не настроен для этой учётной записи. Создать?
Email Flag Queue,Очередь флагов эл. почты
Email Footer Address,Адрес в нижнем колонтитуле
Email Group,Группа рассылки
Email Group List,Список групп эл. почты
Email Group Member,Участник группы эл. почты
Email ID,Адрес эл. почты
"Email ID must be unique, Email Account already exists for {0}",Адрес эл. почты должен быть уникальным; учётная запись эл. почты уже существует для {0}
Email IDs,Адреса эл. почты
Email Id,Адрес эл. почты
Email Inbox,Почтовый ящик
Email Login ID,Логин эл. почты
Email Queue,Очередь электронной почты
Email Queue Recipient,Получатель в очереди эл. почты
Email Queue records.,Записи очереди эл. почты.
Email Reply Help,Справка по ответу на письмо
Email Rule,Правило электронной почты
Email Sent,Письмо отправлено
Email Server,Сервер электронной почты
Email Settings,Настройки почты
Email Signature,Подпись эл. почты
Email Status,Статус письма
Email Sync Option,Параметр синхронизации эл. почты
Email Template,Шаблон письма
Email Templates for common queries.,Шаблоны писем для типовых запросов.
Email To,Кому (эл. почта)
Email Unsubscribe,Отписка от рассылки
Email address,Адрес эл. почты
Email has been marked as spam,Письмо помечено как спам
Email has been moved to trash,Письмо перемещено в корзину
Email not sent to {0} (unsubscribed / disabled),Письмо не отправлено {0} (отписан / отключён)
Email not verified with {0},Эл. почта не подтверждена в {0}
Email queued to {0} recipients,Письмо поставлено в очередь для {0} получателей
Emails are muted,Письма отключены
Emails will be sent with next possible workflow actions,Письма будут отправлены со следующими возможными действиями рабочего процесса
Embed image slideshows in website pages.,Встраивание слайд-шоу изображений в страницы сайта.
Enable,Включить
Enable / Disable Domains,Включить / отключить домены
Enable Allow Auto Repeat for the doctype {0} in Customize Form,Включите «Разрешить автоповтор» для DocType {0} в «Настроить форму»
Enable Auto Reply,Включить автоматический ответ
Enable Auto-deletion of Prepared Reports,Включить автоудаление подготовленных отчётов
Enable Automatic Backup,Включить автоматическое резервное копирование
Enable Automatic Linking in Documents,Включить автоматическое связывание в документах
Enable Chat,Включить чат
Enable Comments,Включить комментарии
Enable Email Notifications,Включить уведомления по эл. почте
Enable Google API in Google Settings.,Включите Google API в настройках Google.
Enable Google Indexing,Включить индексирование Google
Enable In App Website Tracking,Включить внутреннее отслеживание сайта
Enable Incoming,Включить входящие
Enable Onboarding,Включить онбординг
Enable Outgoing,Включить исходящие
Enable Password Policy,Включить политику паролей
Enable Print Server,Включить сервер печати
Enable Raw Printing,Включить raw-печать
Enable Report,Включить отчёт
Enable Scheduled Jobs,Включить запланированные задания
Enable Security,Включить безопасность
Enable Social Login,Включить вход через соцсети
Enable Social Sharing,Включить кнопки соцсетей
Enable Tracking Page Views,Включить отслеживание просмотров страниц
Enable Two Factor Auth,Включить двухфакторную аутентификацию
Enable developer mode to create a standard Web Template,"Включите режим разработчика, чтобы создать стандартный веб-шаблон"
Enabled,Включено
Enabled email inbox for user {0},Включён почтовый ящик для пользователя {0}
Enabled scheduled execution for script {0},Включено выполнение по расписанию для скрипта {0}
"Encryption key is invalid, Please check site_config.json",Ключ шифрования недействителен. Проверьте site_config.json
End Date,Дата окончания
End Date Field,Поле конечной даты
End Date cannot be before Start Date!,Дата окончания не может быть до даты начала!
Endpoint URL,URL конечной точки
Ends on,Заканчивается
Energy Point,Балл активности
Energy Point Log,Журнал баллов активности
Energy Point Rule,Правило баллов активности
Energy Point Settings,Настройки баллов активности
Energy Point Update on {0},Обновление баллов активности в {0}
Energy Points,Баллы активности
Energy Points:,Баллы активности:
Enter Client Id and Client Secret in Google Settings.,Введите Client ID и Client Secret в настройках Google.
Enter Code displayed in OTP App.,"Введите код, отображаемый в приложении OTP."
Enter Email Recipient(s),Введите получателя(ей) письма
Enter Form Type,Введите тип формы
Enter Value,Введите значение
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Введите поля (ключи) и значения по умолчанию. Если для поля добавлено несколько значений, будет выбрано первое. Эти значения по умолчанию также используются в правилах доступа типа «match». Список полей см. в «Настроить форму»."
Enter folder name,Введите имя папки
"Enter keys to enable login via Facebook, Google, GitHub.","Введите ключи, чтобы включить вход через Facebook, Google, GitHub."
Enter python module or select connector type,Введите модуль python или выберите тип коннектора
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Введите сюда статические URL-параметры (например: sender=ERPNext, username=ERPNext, password=1234 и т. д.)"
Enter url parameter for message,Введите URL-параметр для сообщения
Enter url parameter for receiver nos,Введите URL-параметр для номеров получателей
Enter your password,Введите ваш пароль
Entity Name,Имя сущности
Entity Type,Тип объекта
Equals,Равно
Error,Ошибка
Error Attaching File,Ошибка при прикреплении файла
Error Code: {0},Код ошибки: {0}
Error Log,Журнал ошибок
Error Log Notification,Уведомление о журнале ошибок
Error Message,Сообщение об ошибке
Error Report,Отчёт об ошибке
Error Snapshot,Снимок ошибки
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Click here to Download and install QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Click here to learn more about Raw Printing</a>.","Ошибка подключения к приложению QZ Tray...<br><br> Для использования raw-печати необходимо установить и запустить приложение QZ Tray.<br><br><a target=""_blank"" href=""https://qz.io/download/"">Нажмите здесь, чтобы скачать и установить QZ Tray</a>.<br> <a target=""_blank"" href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"">Нажмите здесь, чтобы узнать больше о raw-печати</a>."
Error has occurred in {0},В {0} произошла ошибка
Error in Custom Script,Ошибка в пользовательском скрипте
Error in Notification,Ошибка в уведомлении
Error in Notification: {},Ошибка в уведомлении: {}
Error while connecting to email account {0},Ошибка при подключении к учётной записи эл. почты {0}
Error while evaluating Notification {0}. Please fix your template.,"Ошибка при вычислении уведомления {0}. Пожалуйста, исправьте шаблон."
Error: Document has been modified after you have opened it,"Ошибка: документ был изменён после того, как вы его открыли"
Error: Value missing for {0}: {1},Ошибка: отсутствует значение для {0}: {1}
Errors in Background Events,Ошибки в фоновых событиях
Event,Событие
Event Category,Категория события
Event Configurations,Конфигурации событий
Event Consumer,Получатель событий
Event Consumer Document Type,Тип документа получателя событий
Event Consumer Document Types,Типы документов получателя событий
Event Participants,Участники события
Event Producer,Источник событий
Event Producer Document Type,Тип документа источника событий
Event Producer Document Types,Типы документов источника событий
Event Producer Last Update,Последнее обновление источника событий
Event Streaming,Потоковая передача событий
Event Subscriber,Подписчик на события
Event Subscriber has to be a System Manager.,Подписчик на события должен быть системным менеджером.
Event Sync Log,Журнал синхронизации событий
Event Synced with Google Calendar.,Событие синхронизировано с Google Календарём.
Event Type,Тип события
Event Update Log,Журнал обновлений событий
Event and other calendars.,События и другие календари.
Events in Today's Calendar,События в сегодняшнем календаре
Everyone,Все
"Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]","Пример: ""colors"": [""#d1d8dd"", ""#ff5858""]"
Example,Пример
Example Email Address,Пример адреса эл. почты
"Example: ""/desk""","Пример: ""/desk"""
Example: #Tree/Account,Пример: #Tree/Account
Example: 00001,Пример: 00001
Example: {{ subject }},Пример: {{ subject }}
Excel,Excel
Exception,Исключение
Exception Type,Тип исключения
Execute,Выполнить
Execute Console script,Выполнить консольный скрипт
Execution Time: {0} sec,Время выполнения: {0} сек
Expand,Развернуть
Expand All,Развернуть всё
Expert,Эксперт
Expiration time,Время истечения
Expire Notification On,Срок действия уведомления до
Expired,Срок истёк
Expires In,Истекает через
Expiry time of QR Code Image Page,Время истечения срока действия страницы изображения QR-кода
Export,Экспорт
Export 1 record,Экспортировать 1 запись
Export All {0} rows?,Экспортировать все {0} строк?
Export Custom Permissions,Экспорт пользовательских прав доступа
Export Customizations,Экспорт пользовательских настроек
Export Data,Экспорт данных
Export Data in CSV / Excel format.,Экспорт данных в формате CSV / Excel.
Export Errored Rows,Экспорт строк с ошибками
Export From,Экспорт из
Export Report: {0},Экспорт отчёта: {0}
Export Type,Тип экспорта
Export not allowed. You need {0} role to export.,Экспорт запрещён. Для экспорта нужна роль {0}.
Export {0} records,Экспорт {0} записей
Expose Recipients,Показывать получателей
"Expression, Optional","Выражение, необязательно"
Extends,Расширяет
Extends Another Page,Расширяет другую страницу
Facebook,Facebook
Fail,Не пройдено
Failed,Ошибка
Failed Transactions,Неудачные транзакции
Failed to change password.,Не удалось изменить пароль.
Failed to complete setup,Не удалось завершить настройку
Failed to connect to server,Не удалось подключиться к серверу
Failed to connect to the Event Producer site. Retry after some time.,Не удалось подключиться к сайту источника событий. Повторите попытку через некоторое время.
Failed to create an Event Consumer or an Event Consumer for the current site is already registered.,"Не удалось создать получателя событий, либо получатель событий для текущего сайта уже зарегистрирован."
"Failed to decode token, please provide a valid base64-encoded token.",Не удалось декодировать токен. Укажите действительный токен в кодировке base64.
Failed to send {0} Auto Email Report,Не удалось отправить автоматический отчёт по эл. почте {0}
Failed while amending subscription,Ошибка при внесении изменений в подписку
Failure,Неудача
FavIcon,FavIcon
Fax,Факс
Featured,Рекомендуемые
Feedback,Отзыв
Feedback Request,Запрос обратной связи
Female,Женский
Fetch From,Извлечь из
Fetch If Empty,"Получить, если пусто"
Fetch Images,Получение изображений
Fetch attached images from document,Получение прикреплённых изображений из документа
Fetching default Global Search documents.,Извлечение документов глобального поиска по умолчанию.
Fetching posts...,Загрузка постов...
Field,Поле
"Field ""route"" is mandatory for Web Views",Поле «route» обязательно для веб-представлений
"Field ""value"" is mandatory. Please specify value to be updated","Поле «значение» обязательно. Пожалуйста, укажите значение для обновления"
Field Description,Описание поля
Field Maps,Сопоставления полей
Field Name,Название поля
Field To Check,Поле для проверки
Field Type,Тип поля
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Поле, показывающее статус бизнес-процесса (если поле отсутствует, будет создано новое скрытое настраиваемое поле)"
Field to Track,Поле для отслеживания
Field type cannot be changed for {0},Тип поля не может быть изменён для {0}
Field {0} not found.,Поле {0} не найдено.
Fieldname,Имя поля
Fieldname is limited to 64 characters ({0}),Имя поля ограничено 64 символами ({0})
Fieldname not set for Custom Field,Имя поля не определено для настраиваемого поля
Fieldname which will be the DocType for this link field.,"Имя поля, которое будет содержать DocType для этого поля связи."
Fieldname {0} cannot have special characters like {1},"Имя поля {0} не может содержать специальные символы, такие как {1}"
Fieldname {0} conflicting with meta object,Имя поля {0} конфликтует с метаобъектом
Fieldname {0} is restricted,Имя поля {0} зарезервировано
Fields,Поля
Fields Multicheck,Мультивыбор полей
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Поля, разделённые запятой (,), будут включены в список «Поиск по» диалогового окна поиска"
Fieldtype,Тип поля
Fieldtype cannot be changed from {0} to {1} in row {2},Тип поля не может быть изменён с {0} на {1} в строке {2}
File,Файл
File '{0}' not found,Файл «{0}» не найден
File Backup,Резервная копия файла
File Information,Информация о файле
File Manager,Файловый менеджер
File Name,Имя файла
File Size,Размер файла
File Type,Тип файла
File URL,URL файла
File Upload,Загрузка файла
File Upload Disconnected. Please try again.,"Загрузка файла прервана. Пожалуйста, попробуйте ещё раз."
File Upload in Progress. Please try again in a few moments.,Идёт загрузка файла. Повторите попытку через несколько секунд.
